t_sec,type,name
1.143005,mouse_down,mouse_left
1.356811,mouse_up,mouse_left
1.795316,key_down,w
2.427584,key_down,d
2.477665,key_up,w
2.594369,key_down,a
2.612484,key_up,d
2.689460,key_down,w
2.739608,key_down,d
2.835558,key_up,a
2.881547,key_up,w
2.930645,key_down,s
2.993184,key_up,d
3.148563,key_down,a
3.185064,key_up,s
3.309835,key_down,w
3.367004,key_up,a
3.372035,key_down,d
3.405571,key_up,w
3.460346,key_down,a
3.569052,key_up,d
3.589976,key_down,w
3.650575,key_down,d
3.730153,key_up,a
3.736571,key_up,w
3.767785,key_down,w
3.891261,key_up,w
4.189006,key_up,d
4.449089,key_down,d
4.600980,key_up,d
5.686905,mouse_down,mouse_left
5.794781,mouse_up,mouse_left
5.887070,mouse_down,mouse_left
5.994277,mouse_up,mouse_left
6.575693,mouse_down,mouse_left
6.708801,key_down,ctrl_l
6.804403,mouse_up,mouse_left
6.850146,key_down,
